TICKER,ISIN
WPP,JE00B8KF9B49
CNK,US17243V1026
YUMC,US98850P1093
FSLY,US31188V1008
GTLB,US37637K1088
OLED,US91347P1057
WOSG.L,GB00BJDQQ870
BULL,KYG9572D1034
CASH,EUR
